Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Deamidation (NQ) site positions	Oxidation (M) site positions
REV__sp|A6NDB9|PALM3_HUMAN	REV__sp|A6NDB9|PALM3_HUMAN	1	1	1	sp|A6NDB9|PALM3_HUMAN Paralemmin-3 OS=Homo sapiens OX=9606 GN=PALM3 PE=1 SV=2	1	1	1	1	0	0	0	71.695	673	673	0.51176	0.19869	8833.2	5599.4	769.83	601.07	0	357.3	311.6	0	0	0	0	8833.2	5599.4	769.83	601.07	0	357.3	311.6	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	2289300	1		+		42	4936	True	5012	12177	12235	12235				
REV__sp|A6NE01|F186A_HUMAN	REV__sp|A6NE01|F186A_HUMAN	1	1	1	sp|A6NE01|F186A_HUMAN Protein FAM186A OS=Homo sapiens OX=9606 GN=FAM186A PE=2 SV=3	1	1	1	1	0	0	0	262.76	2351	2351	0.51655	0.19724	46059	34052	4284.1	2777	1209.9	2165.6	961.03	1788.2	1175	2026.8	0	46059	34052	4284.1	2777	1209.9	2165.6	961.03	1788.2	1175	2026.8	0	1	1	1	1	1	1	1	1	1	1	0	729050	1		+		43	2435	True	2475	6283	6320	6320				
REV__sp|A6NFU0|F187A_HUMAN	REV__sp|A6NFU0|F187A_HUMAN	1	1	1	sp|A6NFU0|F187A_HUMAN Ig-like V-type domain-containing protein FAM187A OS=Homo sapiens OX=9606 GN=FAM187A PE=3 SV=1	1	1	1	1	0	0	0	47.349	413	413	0.28342	0.65517	565.02	490.03	0	0	0	0	0	0	0	0	0	565.02	490.03	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	6032300	1		+		44	6359	True	6449	15533	15610	15610				
REV__sp|A6NGG8|PCARE_HUMAN	REV__sp|A6NGG8|PCARE_HUMAN	1	1	1	sp|A6NGG8|PCARE_HUMAN Photoreceptor cilium actin regulator OS=Homo sapiens OX=9606 GN=PCARE PE=1 SV=1	1	1	1	1	0	0	0	139.65	1288	1288	0.43804	0.29049	4424.4	3809.4	382.58	288.7	0	0	0	0	215.14	407.34	0	4424.4	3809.4	382.58	288.7	0	0	0	0	215.14	407.34	0	1	1	1	1	0	0	0	0	1	1	0	1518500	1		+		45	4945	True	5021	12190	12249	12249				
REV__sp|A6NHC0|CAN8_HUMAN	REV__sp|A6NHC0|CAN8_HUMAN	1	1	1	sp|A6NHC0|CAN8_HUMAN Calpain-8 OS=Homo sapiens OX=9606 GN=CAPN8 PE=1 SV=3	1	1	1	1	0	0	0	79.144	703	703	0.44459	0.27232	119990	103640	10036	8181.3	2520.5	2567.3	3030.5	3070	3076.8	2492.3	0	119990	103640	10036	8181.3	2520.5	2567.3	3030.5	3070	3076.8	2492.3	0	1	1	1	1	1	1	1	1	1	1	0	3284500	1		+		46	2780	True	2821	7145	7182	7182				
REV__sp|A6NHR8|FA47D_HUMAN	REV__sp|A6NHR8|FA47D_HUMAN	2	2	2	sp|A6NHR8|FA47D_HUMAN Putative protein FAM47D OS=Homo sapiens OX=9606 GN=FAM47DP PE=5 SV=3	1	2	2	2	0	0	0	46.757	397	397	0.3582	0.52613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		+		47	2854;4550	True;True	2896;4627	7336;11425	7374;11483	7374;11483				
REV__sp|A6NHR9|SMHD1_HUMAN	REV__sp|A6NHR9|SMHD1_HUMAN	3	3	3	sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	1	3	3	3	0	0	0	226.37	2005	2005	0.62014	-0.50476	29009	53026	2341	3743.7	261.86	1434	393.6	915.27	0	1723.2	0	29009	53026	2341	3743.7	261.86	1434	393.6	915.27	0	1723.2	0	3	3	3	3	1	2	1	2	0	2	0	4355400	4		+		48	569;1458;3138	True;True;True	573;1475;3186	1473;3812;3813;3814;8007	1479;3828;3829;3830;8050	1479;3829;8050				
REV__sp|A6NI87|CBY3_HUMAN	REV__sp|A6NI87|CBY3_HUMAN	1	1	1	sp|A6NI87|CBY3_HUMAN Protein chibby homolog 3 OS=Homo sapiens OX=9606 GN=CBY3 PE=3 SV=3	1	1	1	1	0	0	0	27.343	242	242	0.58857	-0.082176	52852	178140	3866.8	10877	0	0	0	463.87	392.95	0	0	52852	178140	3866.8	10877	0	0	0	463.87	392.95	0	0	1	1	1	1	0	0	0	1	1	0	0	7715100	1		+		49	4899	True	4975	12091	12149	12149				
REV__sp|A6NJ78|MET15_HUMAN	REV__sp|A6NJ78|MET15_HUMAN	1	1	1	sp|A6NJ78|MET15_HUMAN 12S rRNA N4-methylcytidine (m4C) methyltransferase OS=Homo sapiens OX=9606 GN=METTL15 PE=1 SV=1	1	1	1	1	0	0	0	46.121	407	407	0.56231	0.16664	47978	103000	4329.2	2715.7	871.09	316.17	904.72	719.96	1987.6	384.55	0	47978	103000	4329.2	2715.7	871.09	316.17	904.72	719.96	1987.6	384.55	0	1	1	1	1	1	1	1	1	1	1	0	3286600	1		+		50	5832	True	5915	14200	14270	14270				
REV__sp|Q9UFD9|RIM3A_HUMAN;REV__sp|A6NNM3|RIM3B_HUMAN;REV__sp|A6NJZ7|RIM3C_HUMAN	REV__sp|Q9UFD9|RIM3A_HUMAN;REV__sp|A6NNM3|RIM3B_HUMAN;REV__sp|A6NJZ7|RIM3C_HUMAN	1;1;1	1;1;1	1;1;1	sp|Q9UFD9|RIM3A_HUMAN RIMS-binding protein 3A OS=Homo sapiens OX=9606 GN=RIMBP3 PE=1 SV=4;sp|A6NNM3|RIM3B_HUMAN RIMS-binding protein 3B OS=Homo sapiens OX=9606 GN=RIMBP3B PE=3 SV=3;sp|A6NJZ7|RIM3C_HUMAN RIMS-binding protein 3C OS=Homo sapiens OX=9606 GN=RI	3	1	1	1	0	0	0	180.72	1639	1639;1639;1639	0.4387	0.29049	4539.2	6249.1	0	344.1	285.06	0	0	0	0	0	0	4539.2	6249.1	0	344.1	285.06	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1830000	1		+		51	6502	True	6595	15870	15948	15948				
REV__sp|A6NK59|ASB14_HUMAN	REV__sp|A6NK59|ASB14_HUMAN	1	1	1	sp|A6NK59|ASB14_HUMAN Ankyrin repeat and SOCS box protein 14 OS=Homo sapiens OX=9606 GN=ASB14 PE=2 SV=2	1	1	1	1	0	0	0	65.331	587	587	0.27932	0.65753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		+		52	4994	True	5071	12286	12346	12346				
REV__sp|Q6NT52|CGB2_HUMAN;REV__sp|P0DN87|CGB7_HUMAN;REV__sp|P0DN86|CGB3_HUMAN;REV__sp|A6NKQ9|CGB1_HUMAN	REV__sp|Q6NT52|CGB2_HUMAN;REV__sp|P0DN87|CGB7_HUMAN;REV__sp|P0DN86|CGB3_HUMAN;REV__sp|A6NKQ9|CGB1_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	sp|Q6NT52|CGB2_HUMAN Choriogonadotropin subunit beta variant 2 OS=Homo sapiens OX=9606 GN=CGB2 PE=2 SV=5;sp|P0DN87|CGB7_HUMAN Choriogonadotropin subunit beta 7 OS=Homo sapiens OX=9606 GN=CGB7 PE=2 SV=1;sp|P0DN86|CGB3_HUMAN Choriogonadotropin subunit beta 3	4	1	1	1	0	0	0	17.374	163	163;165;165;187	0.1696	0.75764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		+		53	4072	True	4133	10246	10300	10300				
REV__sp|A6NLI5|TR64C_HUMAN	REV__sp|A6NLI5|TR64C_HUMAN	1	1	1	sp|A6NLI5|TR64C_HUMAN Tripartite motif-containing protein 64C OS=Homo sapiens OX=9606 GN=TRIM64C PE=3 SV=4	1	1	1	1	0	0	0	51.539	450	450	0.49234	0.20146	3656.2	3554.6	0	0	0	0	0	0	0	0	0	3656.2	3554.6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3007600	1		+		54	4627	True	4704	11544	11602	11602				
REV__sp|Q3SYA9|P12L1_HUMAN;REV__sp|A6NNC1|P12LL_HUMAN	REV__sp|Q3SYA9|P12L1_HUMAN;REV__sp|A6NNC1|P12LL_HUMAN	1;1	1;1	1;1	sp|Q3SYA9|P12L1_HUMAN Putative POM121-like protein 1 OS=Homo sapiens OX=9606 GN=POM121L1P PE=5 SV=2;sp|A6NNC1|P12LL_HUMAN Putative POM121-like protein 1-like OS=Homo sapiens OX=9606 PE=5 SV=3	2	1	1	1	0	0	0	45.447	428	428;897	0.57887	-0.006091	14203	19717	353.53	1099.1	0	0	0	0	0	0	0	14203	19717	353.53	1099.1	0	0	0	0	0	0	0	2	2	1	2	0	0	0	0	0	0	0	5591900	2		+		55	4673	True	4749	11644;11645	11702;11703	11702				
REV__sp|Q5VT03|NTM2D_HUMAN;REV__sp|Q8IVF1|NTM2A_HUMAN;REV__sp|A6NNL0|NTM2B_HUMAN	REV__sp|Q5VT03|NTM2D_HUMAN;REV__sp|Q8IVF1|NTM2A_HUMAN;REV__sp|A6NNL0|NTM2B_HUMAN	1;1;1	1;1;1	1;1;1	sp|Q5VT03|NTM2D_HUMAN NUT family member 2D OS=Homo sapiens OX=9606 GN=NUTM2D PE=3 SV=2;sp|Q8IVF1|NTM2A_HUMAN NUT family member 2A OS=Homo sapiens OX=9606 GN=NUTM2A PE=2 SV=4;sp|A6NNL0|NTM2B_HUMAN NUT family member 2B OS=Homo sapiens OX=9606 GN=NUTM2B PE=3 	3	1	1	1	0	0	0	86.275	806	806;878;878	0.60216	-0.11442	25339	32476	1471.6	2242	0	387.4	312.41	0	410.32	289.89	0	25339	32476	1471.6	2242	0	387.4	312.41	0	410.32	289.89	0	1	1	1	1	0	1	1	0	1	1	0	3351500	1		+		56	368	True	370	926	931	931				
REV__sp|A8MV23|SERP3_HUMAN	REV__sp|A8MV23|SERP3_HUMAN	1	1	1	sp|A8MV23|SERP3_HUMAN Serpin E3 OS=Homo sapiens OX=9606 GN=SERPINE3 PE=2 SV=2	1	1	1	1	0	0	0	46.962	424	424	0.33117	0.58588	35576	17817	2952	1322.9	1340.1	966.37	1055.4	1531.5	1181.7	999.11	0	35576	17817	2952	1322.9	1340.1	966.37	1055.4	1531.5	1181.7	999.11	0	1	1	1	1	1	1	1	1	1	1	0	33454000	1		+		57	4553	True	4630	11428	11486	11486				
REV__sp|A8MVM7|YD021_HUMAN	REV__sp|A8MVM7|YD021_HUMAN	1	1	1	sp|A8MVM7|YD021_HUMAN Putative uncharacterized protein ENSP00000382790 OS=Homo sapiens OX=9606 PE=5 SV=3	1	1	1	1	0	0	0	73.451	634	634	0.42441	0.30904	744.45	400.74	0	0	0	0	0	0	0	0	0	744.45	400.74	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	9550900	1		+		58	5434	True	5518	13248	13318	13318				
REV__sp|A8MW92|P20L1_HUMAN	REV__sp|A8MW92|P20L1_HUMAN	1	1	1	sp|A8MW92|P20L1_HUMAN PHD finger protein 20-like protein 1 OS=Homo sapiens OX=9606 GN=PHF20L1 PE=1 SV=2	1	1	1	1	0	0	0	115.01	1017	1017	0.37959	0.42461	13450	15876	1178.7	1446.5	480.75	1264.6	0	1126.8	436.23	1101.1	0	13450	15876	1178.7	1446.5	480.75	1264.6	0	1126.8	436.23	1101.1	0	1	1	1	1	1	1	0	1	1	1	0	3036600	1		+		59	6548	True	6640	15968	16046	16046				
REV__sp|A8MWA6|F90AM_HUMAN	REV__sp|A8MWA6|F90AM_HUMAN	1	1	1	sp|A8MWA6|F90AM_HUMAN Putative protein FAM90A22P OS=Homo sapiens OX=9606 GN=FAM90A22P PE=5 SV=1	1	1	1	1	0	0	0	49.873	464	464	0.45867	0.24029	31030	51536	1362.3	2923.9	0	342.4	0	0	0	0	0	31030	51536	1362.3	2923.9	0	342.4	0	0	0	0	0	2	2	1	2	0	1	0	0	0	0	0	10547000	2		+		60	591	True	595	1530;1531	1536;1537	1536				
REV__sp|A8MYU2|KCNU1_HUMAN	REV__sp|A8MYU2|KCNU1_HUMAN	1	1	1	sp|A8MYU2|KCNU1_HUMAN Potassium channel subfamily U member 1 OS=Homo sapiens OX=9606 GN=KCNU1 PE=1 SV=2	1	1	1	1	0	0	0	129.54	1149	1149	0.48333	0.21684	2962.4	24965	0	1462.8	0	0	0	1026.8	0	554.62	0	2962.4	24965	0	1462.8	0	0	0	1026.8	0	554.62	0	2	2	0	2	0	0	0	2	0	1	0	4052900	2		+		61	2511	True	2551	6480;6481	6517;6518	6517				
REV__sp|Q8N7Z2|GG6L1_HUMAN;REV__sp|A8MZA4|GG6L6_HUMAN;REV__sp|H0YM25|GG6LV_HUMAN;REV__sp|Q8N9W4|GG6L2_HUMAN	REV__sp|Q8N7Z2|GG6L1_HUMAN;REV__sp|A8MZA4|GG6L6_HUMAN;REV__sp|H0YM25|GG6LV_HUMAN;REV__sp|Q8N9W4|GG6L2_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	sp|Q8N7Z2|GG6L1_HUMAN Golgin subfamily A member 6-like protein 1 OS=Homo sapiens OX=9606 GN=GOLGA6L1 PE=2 SV=3;sp|A8MZA4|GG6L6_HUMAN Golgin subfamily A member 6-like protein 6 OS=Homo sapiens OX=9606 GN=GOLGA6L6 PE=3 SV=4;sp|H0YM25|GG6LV_HUMAN Golgin subfa	4	1	1	1	0	0	0	83.068	668	668;724;810;909	0.13224	0.80311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+		62	4931	True	5007	12168	12226	12226				
REV__sp|A8TX70|CO6A5_HUMAN	REV__sp|A8TX70|CO6A5_HUMAN	1	1	1	sp|A8TX70|CO6A5_HUMAN Collagen alpha-5(VI) chain OS=Homo sapiens OX=9606 GN=COL6A5 PE=1 SV=1	1	1	1	1	0	0	0	289.92	2615	2615	0.40348	0.35253	50089	33159	5388	2703.6	1509.2	1553.5	1443.6	2137	1325.8	1633.7	0	50089	33159	5388	2703.6	1509.2	1553.5	1443.6	2137	1325.8	1633.7	0	1	1	1	1	1	1	1	1	1	1	0	2968200	1		+		63	357	True	359	900	905	905				
REV__sp|E5RIL1|UPKL2_HUMAN;REV__sp|B0FP48|UPK3L_HUMAN	REV__sp|E5RIL1|UPKL2_HUMAN;REV__sp|B0FP48|UPK3L_HUMAN	1;1	1;1	1;1	sp|E5RIL1|UPKL2_HUMAN Uroplakin-3b-like protein 2 OS=Homo sapiens OX=9606 GN=UPK3BL2 PE=3 SV=2;sp|B0FP48|UPK3L_HUMAN Uroplakin-3b-like protein 1 OS=Homo sapiens OX=9606 GN=UPK3BL1 PE=2 SV=1	2	1	1	1	0	0	0	28.385	263	263;263	0.5458	0.16664	348120	102510	26165	7457.4	9367.7	3826.5	10265	3412.9	11223	3612.5	0	348120	102510	26165	7457.4	9367.7	3826.5	10265	3412.9	11223	3612.5	0	4	4	4	3	4	3	4	3	4	4	0	14158000	4		+		64	6201	True	6290	15170;15171;15172;15173	15246;15247;15248;15249	15249				
REV__sp|B0I1T2|MYO1G_HUMAN	REV__sp|B0I1T2|MYO1G_HUMAN	1	1	1	sp|B0I1T2|MYO1G_HUMAN Unconventional myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2	1	1	1	1	0	0	0	116.44	1018	1018	0.533	0.16923	88117	93590	5842.9	6456	2172.6	4189.6	2069.3	4495	2547.1	3902.2	0	88117	93590	5842.9	6456	2172.6	4189.6	2069.3	4495	2547.1	3902.2	0	2	2	2	2	2	2	2	2	2	2	0	10547000	2		+		65	4891	True	4967	12075;12076	12133;12134	12134				
REV__sp|Q99613|EIF3C_HUMAN;REV__sp|B5ME19|EIFCL_HUMAN	REV__sp|Q99613|EIF3C_HUMAN;REV__sp|B5ME19|EIFCL_HUMAN	1;1	1;1	0;0	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1	2	1	1	0	0	0	0	105.34	913	913;914	0.61972	-0.49863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+		66	6518	True								
REV__sp|D6RIA3|CD054_HUMAN	REV__sp|D6RIA3|CD054_HUMAN	2	2	2	sp|D6RIA3|CD054_HUMAN Uncharacterized protein C4orf54 OS=Homo sapiens OX=9606 GN=C4orf54 PE=2 SV=1	1	2	2	2	0	0	0	190.07	1793	1793	0.3973	0.38348	61770	56441	3793.9	4011.2	1062.9	315.98	566.53	330.98	625.4	306.54	0	61770	56441	3793.9	4011.2	1062.9	315.98	566.53	330.98	625.4	306.54	0	3	3	3	3	3	1	2	1	2	1	0	7163500	3		+		67	2382;5911	True;True	2420;5995	6151;6152;14418	6187;6188;14489	6187;14489				
REV__sp|E7ETH6|Z587B_HUMAN	REV__sp|E7ETH6|Z587B_HUMAN	2	2	2	sp|E7ETH6|Z587B_HUMAN Zinc finger protein 587B OS=Homo sapiens OX=9606 GN=ZNF587B PE=1 SV=1	1	2	2	2	0	0	0	45.541	402	402	0.0839	0.87266	104690	99064	7771.7	8788.1	1500.1	1809.3	1194.6	1186.3	1493.2	1907	0	104690	99064	7771.7	8788.1	1500.1	1809.3	1194.6	1186.3	1493.2	1907	0	4	4	4	4	4	4	2	1	2	3	0	12251000	4		+		68	3915;6561	True;True	3974;6653	9875;15998;15999;16000	9928;16076;16077;16078	9928;16077				
REV__sp|E7EU14|PP5D1_HUMAN	REV__sp|E7EU14|PP5D1_HUMAN	1	1	1	sp|E7EU14|PP5D1_HUMAN Protein PPP5D1 OS=Homo sapiens OX=9606 GN=PPP5D1 PE=2 SV=2	1	1	1	1	0	0	0	19.623	171	171	0.58496	-0.047353	10022	17946	576.5	949.81	0	0	242.06	377.76	0	0	0	10022	17946	576.5	949.81	0	0	242.06	377.76	0	0	0	2	2	2	2	0	0	1	1	0	0	0	3467300	2		+		69	6476	True	6569	15827;15828	15905;15906	15905				
REV__sp|F5GYI3|UBA1L_HUMAN	REV__sp|F5GYI3|UBA1L_HUMAN	1	1	1	sp|F5GYI3|UBA1L_HUMAN Ubiquitin-associated protein 1-like OS=Homo sapiens OX=9606 GN=UBAP1L PE=2 SV=1	1	1	1	1	0	0	0	40.591	381	381	0.57628	0.0074159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		+		70	2534	True	2574	6534	6571	6571				
REV__sp|O75610|LFTY1_HUMAN;REV__sp|O00292|LFTY2_HUMAN	REV__sp|O75610|LFTY1_HUMAN;REV__sp|O00292|LFTY2_HUMAN	1;1	1;1	1;1	sp|O75610|LFTY1_HUMAN Left-right determination factor 1 OS=Homo sapiens OX=9606 GN=LEFTY1 PE=2 SV=1;sp|O00292|LFTY2_HUMAN Left-right determination factor 2 OS=Homo sapiens OX=9606 GN=LEFTY2 PE=1 SV=2	2	1	1	1	0	0	0	40.88	366	366;366	0.60197	-0.11442	42406	11192	2532.1	899.27	1562.6	513.95	1586.1	310.41	834.9	593.75	0	42406	11192	2532.1	899.27	1562.6	513.95	1586.1	310.41	834.9	593.75	0	1	1	1	1	1	1	1	1	1	1	0	1261400	1		+		71	5381	True	5466	13144	13214	13214				
REV__sp|O00330|ODPX_HUMAN	REV__sp|O00330|ODPX_HUMAN	1	1	1	sp|O00330|ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=3	1	1	1	1	0	0	0	54.122	501	501	0.44168	0.28236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+		72	4849	True	4925	11995;11996;11997	12053;12054;12055	12053				
REV__sp|O00391|QSOX1_HUMAN	REV__sp|O00391|QSOX1_HUMAN	1	1	1	sp|O00391|QSOX1_HUMAN Sulfhydryl oxidase 1 OS=Homo sapiens OX=9606 GN=QSOX1 PE=1 SV=3	1	1	1	1	0	0	0	82.577	747	747	0.40168	0.35737	44869	35216	2514.6	2684.1	1264.9	1454.4	1140.6	1346.5	1209.4	1864.1	0	44869	35216	2514.6	2684.1	1264.9	1454.4	1140.6	1346.5	1209.4	1864.1	0	1	1	1	1	1	1	1	1	1	1	0	2529200	1		+		73	5919	True	6003	14432	14503	14503				
REV__sp|P42768|WASP_HUMAN;REV__sp|O00401|WASL_HUMAN	REV__sp|P42768|WASP_HUMAN;REV__sp|O00401|WASL_HUMAN	1;1	1;1	1;1	sp|P42768|WASP_HUMAN Wiskott-Aldrich syndrome protein OS=Homo sapiens OX=9606 GN=WAS PE=1 SV=4;sp|O00401|WASL_HUMAN Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2	2	1	1	1	0	0	0	52.912	502	502;505	0.45415	0.24689	41420	34049	906.56	1705	1078.7	759.93	856.07	564.48	910.3	994.92	0	41420	34049	906.56	1705	1078.7	759.93	856.07	564.48	910.3	994.92	0	1	1	1	1	1	1	1	1	1	1	0	2043300	1		+		74	4810	True	4886	11911	11969	11969				
REV__sp|O00444|PLK4_HUMAN	REV__sp|O00444|PLK4_HUMAN	1	1	1	sp|O00444|PLK4_HUMAN Serine/threonine-protein kinase PLK4 OS=Homo sapiens OX=9606 GN=PLK4 PE=1 SV=3	1	1	1	1	0	0	0	108.97	970	970	0.16909	0.76054	367560	401810	26472	28687	6562.5	10117	7676.5	10870	8792.5	10937	0	367560	401810	26472	28687	6562.5	10117	7676.5	10870	8792.5	10937	0	3	3	3	3	3	3	3	3	3	3	0	22773000	3		+		75	2408	True	2448	6218;6219;6220	6255;6256;6257	6256				
REV__sp|O00462|MANBA_HUMAN	REV__sp|O00462|MANBA_HUMAN	1	1	1	sp|O00462|MANBA_HUMAN Beta-mannosidase OS=Homo sapiens OX=9606 GN=MANBA PE=1 SV=3	1	1	1	1	0	0	0	100.89	879	879	0.52528	0.17744	42568	34506	6548.8	3924.6	1451.5	1141.1	1489.4	1480.4	1143.4	1411.5	0	42568	34506	6548.8	3924.6	1451.5	1141.1	1489.4	1480.4	1143.4	1411.5	0	1	1	1	1	1	1	1	1	1	1	0	4251300	1		+		76	131	True	130	346	346	346				
REV__sp|O00469|PLOD2_HUMAN	REV__sp|O00469|PLOD2_HUMAN	1	1	1	sp|O00469|PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2	1	1	1	1	0	0	0	84.685	737	737	0.18763	0.74259	7138.5	10438	602.73	848.54	0	555.82	318.82	265.34	0	776.32	0	7138.5	10438	602.73	848.54	0	555.82	318.82	265.34	0	776.32	0	1	1	1	1	0	1	1	1	0	1	0	1777700	1		+		77	5683	True	5766	13837	13907	13907				
REV__sp|O14513|NCKP5_HUMAN	REV__sp|O14513|NCKP5_HUMAN	1	1	1	sp|O14513|NCKP5_HUMAN Nck-associated protein 5 OS=Homo sapiens OX=9606 GN=NCKAP5 PE=1 SV=2	1	1	1	1	0	0	0	208.53	1909	1909	0.47116	0.22782	62734	49198	3276	2719.2	1271.2	925.76	1168.1	1046	938.89	616.9	0	62734	49198	3276	2719.2	1271.2	925.76	1168.1	1046	938.89	616.9	0	3	3	3	3	2	2	2	3	2	1	0	6371100	3		+		78	4862	True	4938	12022;12023;12024	12080;12081;12082	12080				
REV__sp|O14525|ASTN1_HUMAN	REV__sp|O14525|ASTN1_HUMAN	1	1	1	sp|O14525|ASTN1_HUMAN Astrotactin-1 OS=Homo sapiens OX=9606 GN=ASTN1 PE=1 SV=3	1	1	1	1	0	0	0	144.91	1302	1302	0.48965	0.20254	6828	6757.7	575.38	642.36	0	0	0	0	0	0	0	6828	6757.7	575.38	642.36	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	13306000	1		+		79	4490	True	4564	11292	11350	11350				
REV__sp|O14559|RHG33_HUMAN	REV__sp|O14559|RHG33_HUMAN	1	1	1	sp|O14559|RHG33_HUMAN Rho GTPase-activating protein 33 OS=Homo sapiens OX=9606 GN=ARHGAP33 PE=1 SV=2	1	1	1	1	0	0	0	137.21	1287	1287	0.53341	0.16923	209240	163730	15399	11159	4565.4	4717.4	4551.9	4583.4	4312.6	4376	0	209240	163730	15399	11159	4565.4	4717.4	4551.9	4583.4	4312.6	4376	0	3	3	3	3	3	3	3	3	3	3	0	14020000	3		+		80	5029	True	5107	12351;12352;12353	12411;12412;12413	12412				
REV__sp|O14562|UBFD1_HUMAN	REV__sp|O14562|UBFD1_HUMAN	1	1	1	sp|O14562|UBFD1_HUMAN Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=2	1	1	1	1	0	0	0	33.382	309	309	0.52483	0.18231	48945	117380	3525	7261.2	747.39	1695	648.98	1955.6	1328.1	2589.1	0	48945	117380	3525	7261.2	747.39	1695	648.98	1955.6	1328.1	2589.1	0	1	1	1	1	1	1	1	1	1	1	0	3911700	1		+		81	4430	True	4502	11150	11208	11208				
REV__sp|O14638|ENPP3_HUMAN	REV__sp|O14638|ENPP3_HUMAN	1	1	1	sp|O14638|ENPP3_HUMAN Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 OS=Homo sapiens OX=9606 GN=ENPP3 PE=1 SV=2	1	1	1	1	0	0	0	100.12	875	875	0.56035	0.16664	8680.8	11960	925.2	981.63	0	218.78	201.3	376.56	0	0	0	8680.8	11960	925.2	981.63	0	218.78	201.3	376.56	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1625200	1		+		82	5916	True	6000	14429	14500	14500				
